p1,p2,g1_ratio,policy,avg_cost
0.1,0.9,54,random,535.0666666666667
0.1,0.9,54,coupcoll-nodupe,554.4
0.1,0.9,54,ratiocoll-nodupe,519.7333333333333
0.1,0.9,54,epsilon-exact-nodupe,539.2666666666667
0.1,0.9,55,random,569.7666666666667
0.1,0.9,55,coupcoll-nodupe,569.3666666666667
0.1,0.9,55,ratiocoll-nodupe,542.1333333333333
0.1,0.9,55,epsilon-exact-nodupe,555.1666666666666
0.1,0.9,56,random,542.5
0.1,0.9,56,coupcoll-nodupe,556.1
0.1,0.9,56,ratiocoll-nodupe,546.4333333333333
0.1,0.9,56,epsilon-exact-nodupe,574.1666666666666
0.1,0.9,57,random,557.4333333333333
0.1,0.9,57,coupcoll-nodupe,556.6
0.1,0.9,57,ratiocoll-nodupe,574.7
0.1,0.9,57,epsilon-exact-nodupe,567.2
0.1,0.9,58,random,556.4
0.1,0.9,58,coupcoll-nodupe,553.6666666666666
0.1,0.9,58,ratiocoll-nodupe,576.7
0.1,0.9,58,epsilon-exact-nodupe,561.7333333333333
0.1,0.9,59,random,578.8333333333334
0.1,0.9,59,coupcoll-nodupe,568.1666666666666
0.1,0.9,59,ratiocoll-nodupe,588.0
0.1,0.9,59,epsilon-exact-nodupe,624.9333333333333
0.1,0.9,60,random,599.3
0.1,0.9,60,coupcoll-nodupe,614.5333333333333
0.1,0.9,60,ratiocoll-nodupe,585.8333333333334
0.1,0.9,60,epsilon-exact-nodupe,601.7
0.1,0.9,61,random,605.4666666666667
0.1,0.9,61,coupcoll-nodupe,628.1333333333333
0.1,0.9,61,ratiocoll-nodupe,610.5333333333333
0.1,0.9,61,epsilon-exact-nodupe,610.8666666666667
0.1,0.9,62,random,623.6666666666666
0.1,0.9,62,coupcoll-nodupe,627.4333333333333
0.1,0.9,62,ratiocoll-nodupe,610.9333333333333
0.1,0.9,62,epsilon-exact-nodupe,602.6
0.1,0.9,63,random,588.4333333333333
0.1,0.9,63,coupcoll-nodupe,631.6
0.1,0.9,63,ratiocoll-nodupe,639.6
0.1,0.9,63,epsilon-exact-nodupe,624.5333333333333
0.1,0.9,64,random,627.7666666666667
0.1,0.9,64,coupcoll-nodupe,670.7
0.1,0.9,64,ratiocoll-nodupe,655.3333333333334
0.1,0.9,64,epsilon-exact-nodupe,640.9666666666667
0.1,0.9,65,random,665.7666666666667
0.1,0.9,65,coupcoll-nodupe,633.2666666666667
0.1,0.9,65,ratiocoll-nodupe,649.1
0.1,0.9,65,epsilon-exact-nodupe,666.3666666666667
0.1,0.9,66,random,658.0
0.1,0.9,66,coupcoll-nodupe,679.6333333333333
