n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
10,50,True,random,CoupColl,4745.733679677362,17536.366666666665
10,50,True,random,RatioColl,3618.7988088596153,16928.533333333333
10,50,True,random,EpsilonGreedy,5334.6040140756495,16949.833333333332
10,50,True,random,UCB,5050.550510221783,18454.966666666667
10,50,True,skewed,Random,10862.918227714243,15711.4
10,50,True,skewed,CoupColl,2333.211761141926,21033.2
10,50,True,skewed,RatioColl,1974.1624173021066,19014.366666666665
10,50,True,skewed,EpsilonGreedy,5855.58856685859,18862.1
10,50,True,skewed,UCB,3525.2373710958545,22167.9
10,50,False,uniform,Random,20151.066666666666,20151.066666666666
10,50,False,uniform,CoupColl,19307.966666666667,19307.966666666667
10,50,False,uniform,RatioColl,15353.5,15353.5
10,50,False,uniform,EpsilonGreedy,16780.966666666667,16780.966666666667
10,50,False,uniform,UCB,18629.866666666665,18629.866666666665
10,50,False,random,Random,22242.816574473356,22928.533333333333
10,50,False,random,CoupColl,2742.6544022884195,109245.8
10,50,False,random,RatioColl,2756.5560732392337,109799.53333333334
10,50,False,random,EpsilonGreedy,14524.47345053515,32072.733333333334
10,50,False,random,UCB,7979.1309975705335,67408.93333333333
10,50,False,skewed,Random,17912.428972691054,21736.833333333332
10,50,False,skewed,CoupColl,5224.820845338892,39959.166666666664
10,50,False,skewed,RatioColl,4704.693258103445,31188.666666666668
10,50,False,skewed,EpsilonGreedy,8166.447243595498,23632.433333333334
10,50,False,skewed,UCB,6256.934160660879,24463.233333333334
