p1,p2,total_query,policy,avg_cost
50,70,256,random,274.06666666666666
50,70,256,coupcoll,273.7
50,70,256,ratiocoll,257.5
50,70,256,union-bound,426.8571428571429
50,70,256,asymptotic,268.94724220181894
50,70,256,epsilon-exact,259.9
50,70,512,random,540.8
50,70,512,coupcoll,547.8
50,70,512,ratiocoll,514.2333333333333
50,70,512,union-bound,853.1428571428571
50,70,512,asymptotic,530.3101655171416
50,70,512,epsilon-exact,514.0666666666667
50,70,1024,random,1077.4333333333334
50,70,1024,coupcoll,1095.5
50,70,1024,ratiocoll,1026.7
50,70,1024,union-bound,1706.857142857143
50,70,1024,asymptotic,1049.8944844036378
50,70,1024,epsilon-exact,1026.8333333333333
50,70,2048,random,2131.766666666667
50,70,2048,coupcoll,2193.233333333333
50,70,2048,ratiocoll,2049.633333333333
50,70,2048,union-bound,3413.142857142857
50,70,2048,asymptotic,2084.620331034283
50,70,2048,epsilon-exact,2050.5666666666666
50,70,5096,random,5316.0
50,70,5096,coupcoll,5456.466666666666
50,70,5096,ratiocoll,5097.866666666667
50,70,5096,union-bound,8493.142857142857
50,70,5096,asymptotic,5153.765960555001
50,70,5096,epsilon-exact,5099.033333333334
50,90,32,random,40.166666666666664
50,90,32,coupcoll,33.03333333333333
50,90,32,ratiocoll,33.2
50,90,32,union-bound,45.333333333333336
50,90,32,asymptotic,36.70984737443763
50,90,32,epsilon-exact,35.7
50,90,64,random,76.23333333333333
50,90,64,coupcoll,65.9
50,90,64,ratiocoll,65.2
50,90,64,union-bound,91.55555555555556
50,90,64,asymptotic,70.66073003363701
50,90,64,epsilon-exact,66.93333333333334
50,90,128,random,149.4
50,90,128,coupcoll,132.23333333333332
50,90,128,ratiocoll,129.16666666666666
50,90,128,union-bound,183.11111111111111
50,90,128,asymptotic,137.41969474887526
50,90,128,epsilon-exact,130.43333333333334
50,90,256,random,302.6
50,90,256,coupcoll,264.0
50,90,256,ratiocoll,256.6666666666667
50,90,256,union-bound,365.33333333333337
50,90,256,asymptotic,269.321460067274
50,90,256,epsilon-exact,258.8666666666667
50,90,512,random,598.6333333333333
50,90,512,coupcoll,530.1333333333333
50,90,512,ratiocoll,513.2
50,90,512,union-bound,731.5555555555557
50,90,512,asymptotic,530.8393894977505
50,90,512,epsilon-exact,514.3
50,90,1024,random,1217.5666666666666
50,90,1024,coupcoll,1057.3333333333333
50,90,1024,ratiocoll,1025.6333333333334
50,90,1024,union-bound,1463.1111111111113
50,90,1024,asymptotic,1050.6429201345481
50,90,1024,epsilon-exact,1025.4
50,90,2048,random,2434.1
50,90,2048,coupcoll,2112.1666666666665
50,90,2048,ratiocoll,2049.0
50,90,2048,union-bound,2925.3333333333335
50,90,2048,asymptotic,2085.678778995501
50,90,2048,epsilon-exact,2049.1
50,90,5096,random,6021.333333333333
50,90,5096,coupcoll,5256.233333333334
50,90,5096,ratiocoll,5096.9
50,90,5096,union-bound,7280.0
50,90,5096,asymptotic,5155.435586728505
50,90,5096,epsilon-exact,5096.733333333334
70,30,32,random,37.766666666666666
70,30,32,coupcoll,37.46666666666667
70,30,32,ratiocoll,37.93333333333333
70,30,32,union-bound,64.76190476190476
70,30,32,asymptotic,36.92465042459658
70,30,32,epsilon-exact,36.833333333333336
70,30,64,random,70.63333333333334
70,30,64,coupcoll,70.0
70,30,64,ratiocoll,70.8
70,30,64,union-bound,127.61904761904762
70,30,64,asymptotic,70.96450742041091
70,30,64,epsilon-exact,71.03333333333333
70,30,128,random,137.23333333333332
70,30,128,coupcoll,134.96666666666667
70,30,128,ratiocoll,135.5
70,30,128,union-bound,255.23809523809524
70,30,128,asymptotic,137.84930084919316
70,30,128,epsilon-exact,139.03333333333333
70,30,256,random,273.46666666666664
70,30,256,coupcoll,272.3666666666667
70,30,256,ratiocoll,271.3
70,30,256,union-bound,512.3809523809523
70,30,256,asymptotic,269.9290148408218
70,30,256,epsilon-exact,270.76666666666665
70,30,512,random,533.1666666666666
70,30,512,coupcoll,528.2
70,30,512,ratiocoll,531.0333333333333
70,30,512,union-bound,1024.7619047619046
70,30,512,asymptotic,531.6986016983864
70,30,512,epsilon-exact,531.6333333333333
70,30,1024,random,1054.2666666666667
70,30,1024,coupcoll,1055.4333333333334
70,30,1024,ratiocoll,1045.5666666666666
70,30,1024,union-bound,2047.6190476190475
70,30,1024,asymptotic,1051.8580296816435
70,30,1024,epsilon-exact,1053.7
70,30,2048,random,2086.1666666666665
70,30,2048,coupcoll,2090.4
70,30,2048,ratiocoll,2081.3
70,30,2048,union-bound,4095.238095238095
70,30,2048,asymptotic,2087.3972033967725
70,30,2048,epsilon-exact,2076.8
70,30,5096,random,5171.7
70,30,5096,coupcoll,5161.633333333333
